No.,Time,Source,Destination,Protocol,Length,Win
320,12.658592,10.0.0.1,10.0.0.2,TCP,1514,29696
321,12.682816,10.0.0.1,10.0.0.2,TCP,2962,29696
322,12.696962,10.0.0.2,10.0.0.1,TCP,66,170496
323,12.75919,10.0.0.1,10.0.0.2,TCP,1514,29696
324,12.808984,10.0.0.2,10.0.0.1,TCP,66,170496
325,12.834065,10.0.0.2,10.0.0.1,TCP,66,170496
326,12.871354,10.0.0.1,10.0.0.2,TCP,1514,29696
327,12.908409,10.0.0.1,10.0.0.2,TCP,2962,29696
328,12.909505,10.0.0.2,10.0.0.1,TCP,66,170496
329,12.971743,10.0.0.1,10.0.0.2,TCP,1514,29696
330,13.022166,10.0.0.2,10.0.0.1,TCP,66,170496
331,13.058783,10.0.0.2,10.0.0.1,TCP,66,170496
332,13.084392,10.0.0.1,10.0.0.2,TCP,1514,29696
333,13.123065,10.0.0.2,10.0.0.1,TCP,66,170496
334,13.185266,10.0.0.1,10.0.0.2,TCP,1514,29696
335,13.234768,10.0.0.2,10.0.0.1,TCP,66,170496
336,13.298048,10.0.0.1,10.0.0.2,TCP,1514,29696
337,13.336339,10.0.0.2,10.0.0.1,TCP,78,170496
338,13.398674,10.0.0.1,10.0.0.2,TCP,1514,29696
339,13.449567,10.0.0.2,10.0.0.1,TCP,78,170496
340,13.511837,10.0.0.1,10.0.0.2,TCP,1514,29696
341,13.549936,10.0.0.2,10.0.0.1,TCP,78,170496
342,13.612193,10.0.0.1,10.0.0.2,TCP,1514,29696
343,13.663343,10.0.0.2,10.0.0.1,TCP,78,170496
344,13.72561,10.0.0.1,10.0.0.2,TCP,1514,29696
345,13.763662,10.0.0.2,10.0.0.1,TCP,66,170496
346,13.826378,10.0.0.1,10.0.0.2,TCP,1514,29696
347,13.876744,10.0.0.2,10.0.0.1,TCP,66,170496
348,13.93901,10.0.0.1,10.0.0.2,TCP,1514,29696
349,13.951107,10.0.0.1,10.0.0.2,TCP,1514,29696
350,13.977862,10.0.0.2,10.0.0.1,TCP,66,170496
351,14.040129,10.0.0.1,10.0.0.2,TCP,1514,29696
352,14.090278,10.0.0.2,10.0.0.1,TCP,66,170496
353,14.101573,10.0.0.2,10.0.0.1,TCP,66,170496
354,14.190548,10.0.0.2,10.0.0.1,TCP,66,170496
355,14.252782,10.0.0.1,10.0.0.2,TCP,1514,29696
